Category,Pose
Flow Pose,Chair Pose
Flow Pose,Crescent Lunge
Flow Pose,Warrior One
Flow Pose,Warrior Two
Flow Pose,Reverse Warrior
Flow Pose,Triangle Pose
Flow Pose,Extended Side Angle
Flow Pose,Pyramid Pose
Flow Pose,Standing Forward Fold with Shoulder Stretch
Flow Pose,Half Split
Flow Pose,Lizard Pose
Flow Pose,Twisted Lunge
Flow Pose,Twisted Chair
Flow Pose,Locust Pose
Cool Down Pose,Bound Angle Pose (Butterfly)
Cool Down Pose,Seated Wide-Leg Forward Fold
Cool Down Pose,Seated Twist
Cool Down Pose,Head-to-Knee Pose
Cool Down Pose,Reclined Twist
Cool Down Pose,Happy Baby Pose
Cool Down Pose,Reclined Pigeon
Cool Down Pose,Bridge Pose
Cool Down Pose,Reclined Bound Angle Pose
Cool Down Pose,Seated Forward Fold
Cool Down Pose,Cat Cow Pose
Cool Down Pose,Neck rolls
Cool Down Pose,Thread the Needle
